task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,123.4
1,T1: short+no wind,2000,209.4
1,T1: short+no wind,3000,187.8
1,T1: short+no wind,4000,218.2
1,T1: short+no wind,5000,193.0
1,T1: short+no wind,6000,128.4
1,T1: short+no wind,7000,134.8
1,T1: short+no wind,8000,153.2
1,T1: short+no wind,9000,130.0
1,T1: short+no wind,10000,147.8
1,T1: short+no wind,11000,197.4
1,T1: short+no wind,12000,225.4
1,T1: short+no wind,13000,230.0
1,T1: short+no wind,14000,251.8
1,T1: short+no wind,15000,263.0
1,T1: short+no wind,16000,275.0
1,T1: short+no wind,17000,259.4
1,T1: short+no wind,18000,283.0
1,T1: short+no wind,19000,255.2
1,T1: short+no wind,20000,260.6
1,T1: short+no wind,21000,259.6
1,T1: short+no wind,22000,258.6
1,T1: short+no wind,23000,275.4
1,T1: short+no wind,24000,272.2
1,T1: short+no wind,25000,291.8
1,T1: short+no wind,26000,247.4
1,T1: short+no wind,27000,235.6
1,T1: short+no wind,28000,217.2
1,T1: short+no wind,29000,227.2
1,T1: short+no wind,30000,339.6
1,T1: short+no wind,31000,370.8
1,T1: short+no wind,32000,400.2
1,T1: short+no wind,33000,402.0
1,T1: short+no wind,34000,402.8
1,T1: short+no wind,35000,379.0
1,T1: short+no wind,36000,353.0
1,T1: short+no wind,37000,394.2
1,T1: short+no wind,38000,328.6
1,T1: short+no wind,39000,407.2
1,T1: short+no wind,40000,407.2
1,T1: short+no wind,41000,408.2
1,T1: short+no wind,42000,408.0
1,T1: short+no wind,43000,362.4
1,T1: short+no wind,44000,348.6
1,T1: short+no wind,45000,297.4
1,T1: short+no wind,46000,328.0
1,T1: short+no wind,47000,281.0
1,T1: short+no wind,48000,343.4
1,T1: short+no wind,49000,407.0
1,T1: short+no wind,50000,407.6
1,T1: short+no wind,51000,271.2
1,T1: short+no wind,52000,222.4
1,T1: short+no wind,53000,340.2
1,T1: short+no wind,54000,299.2
1,T1: short+no wind,55000,365.8
1,T1: short+no wind,56000,294.2
1,T1: short+no wind,57000,280.4
1,T1: short+no wind,58000,277.6
1,T1: short+no wind,59000,357.2
1,T1: short+no wind,60000,313.4
1,T1: short+no wind,61000,313.6
1,T1: short+no wind,62000,313.0
1,T1: short+no wind,63000,313.8
1,T1: short+no wind,64000,298.2
1,T1: short+no wind,65000,226.6
1,T1: short+no wind,66000,281.4
1,T1: short+no wind,67000,333.8
1,T1: short+no wind,68000,229.2
1,T1: short+no wind,69000,406.4
1,T1: short+no wind,70000,368.4
1,T1: short+no wind,71000,381.2
1,T1: short+no wind,72000,132.4
1,T1: short+no wind,73000,337.2
1,T1: short+no wind,74000,400.2
1,T1: short+no wind,75000,289.8
1,T1: short+no wind,76000,405.2
1,T1: short+no wind,77000,404.4
1,T1: short+no wind,78000,405.4
1,T1: short+no wind,79000,404.8
1,T1: short+no wind,80000,389.0
1,T1: short+no wind,81000,405.4
1,T1: short+no wind,82000,405.0
1,T1: short+no wind,83000,292.4
1,T1: short+no wind,84000,370.8
1,T1: short+no wind,85000,284.8
1,T1: short+no wind,86000,319.6
1,T1: short+no wind,87000,405.2
1,T1: short+no wind,88000,387.0
1,T1: short+no wind,89000,163.4
1,T1: short+no wind,90000,406.8
1,T1: short+no wind,91000,406.2
1,T1: short+no wind,92000,365.6
1,T1: short+no wind,93000,395.6
1,T1: short+no wind,94000,378.8
1,T1: short+no wind,95000,378.6
1,T1: short+no wind,96000,357.8
1,T1: short+no wind,97000,405.6
1,T1: short+no wind,98000,387.0
1,T1: short+no wind,99000,406.2
1,T1: short+no wind,100000,406.0
2,T2: short+wind,1000,143.4
2,T2: short+wind,2000,151.8
2,T2: short+wind,3000,186.2
2,T2: short+wind,4000,213.4
2,T2: short+wind,5000,193.0
2,T2: short+wind,6000,137.6
2,T2: short+wind,7000,141.2
2,T2: short+wind,8000,164.2
2,T2: short+wind,9000,140.0
2,T2: short+wind,10000,164.2
2,T2: short+wind,11000,210.6
2,T2: short+wind,12000,230.6
2,T2: short+wind,13000,236.6
2,T2: short+wind,14000,249.6
2,T2: short+wind,15000,238.0
2,T2: short+wind,16000,264.0
2,T2: short+wind,17000,239.6
2,T2: short+wind,18000,247.4
2,T2: short+wind,19000,252.2
2,T2: short+wind,20000,254.4
2,T2: short+wind,21000,255.0
2,T2: short+wind,22000,251.2
2,T2: short+wind,23000,255.8
2,T2: short+wind,24000,256.2
2,T2: short+wind,25000,275.4
2,T2: short+wind,26000,289.8
2,T2: short+wind,27000,245.8
2,T2: short+wind,28000,245.4
2,T2: short+wind,29000,302.2
2,T2: short+wind,30000,399.8
2,T2: short+wind,31000,392.8
2,T2: short+wind,32000,363.0
2,T2: short+wind,33000,393.6
2,T2: short+wind,34000,397.0
2,T2: short+wind,35000,368.2
2,T2: short+wind,36000,374.2
2,T2: short+wind,37000,395.4
2,T2: short+wind,38000,357.0
2,T2: short+wind,39000,406.0
2,T2: short+wind,40000,406.2
2,T2: short+wind,41000,406.6
2,T2: short+wind,42000,406.0
2,T2: short+wind,43000,406.0
2,T2: short+wind,44000,406.2
2,T2: short+wind,45000,351.2
2,T2: short+wind,46000,393.2
2,T2: short+wind,47000,316.0
2,T2: short+wind,48000,405.0
2,T2: short+wind,49000,405.2
2,T2: short+wind,50000,406.0
2,T2: short+wind,51000,290.0
2,T2: short+wind,52000,236.6
2,T2: short+wind,53000,381.6
2,T2: short+wind,54000,318.4
2,T2: short+wind,55000,360.8
2,T2: short+wind,56000,315.4
2,T2: short+wind,57000,291.6
2,T2: short+wind,58000,284.4
2,T2: short+wind,59000,355.2
2,T2: short+wind,60000,314.6
2,T2: short+wind,61000,376.6
2,T2: short+wind,62000,362.8
2,T2: short+wind,63000,366.6
