task_id,task_name,global_step,average_reward
1,T1: short+no wind,1000,219.0
1,T1: short+no wind,2000,423.4
1,T1: short+no wind,3000,254.6
1,T1: short+no wind,4000,364.2
1,T1: short+no wind,5000,500.0
1,T1: short+no wind,6000,382.4
1,T1: short+no wind,7000,303.4
1,T1: short+no wind,8000,278.8
1,T1: short+no wind,9000,263.4
1,T1: short+no wind,10000,311.6
1,T1: short+no wind,11000,306.2
1,T1: short+no wind,12000,316.8
1,T1: short+no wind,13000,301.4
1,T1: short+no wind,14000,303.4
1,T1: short+no wind,15000,271.0
1,T1: short+no wind,16000,271.6
1,T1: short+no wind,17000,268.2
1,T1: short+no wind,18000,278.4
1,T1: short+no wind,19000,258.4
1,T1: short+no wind,20000,310.6
1,T1: short+no wind,21000,380.4
1,T1: short+no wind,22000,374.4
1,T1: short+no wind,23000,395.6
1,T1: short+no wind,24000,379.6
1,T1: short+no wind,25000,386.0
1,T1: short+no wind,26000,500.0
1,T1: short+no wind,27000,500.0
1,T1: short+no wind,28000,285.8
1,T1: short+no wind,29000,500.0
1,T1: short+no wind,30000,396.6
1,T1: short+no wind,31000,302.2
1,T1: short+no wind,32000,206.8
1,T1: short+no wind,33000,234.6
1,T1: short+no wind,34000,242.4
1,T1: short+no wind,35000,500.0
1,T1: short+no wind,36000,500.0
1,T1: short+no wind,37000,500.0
1,T1: short+no wind,38000,378.0
1,T1: short+no wind,39000,293.0
1,T1: short+no wind,40000,260.0
1,T1: short+no wind,41000,253.0
1,T1: short+no wind,42000,320.6
1,T1: short+no wind,43000,315.2
1,T1: short+no wind,44000,370.2
1,T1: short+no wind,45000,485.4
1,T1: short+no wind,46000,474.6
1,T1: short+no wind,47000,482.8
1,T1: short+no wind,48000,453.6
1,T1: short+no wind,49000,456.2
1,T1: short+no wind,50000,387.6
1,T1: short+no wind,51000,500.0
1,T1: short+no wind,52000,408.6
1,T1: short+no wind,53000,476.6
1,T1: short+no wind,54000,500.0
1,T1: short+no wind,55000,313.2
1,T1: short+no wind,56000,408.6
1,T1: short+no wind,57000,313.0
1,T1: short+no wind,58000,455.6
1,T1: short+no wind,59000,402.0
1,T1: short+no wind,60000,409.8
1,T1: short+no wind,61000,108.8
1,T1: short+no wind,62000,318.8
1,T1: short+no wind,63000,368.0
1,T1: short+no wind,64000,154.2
1,T1: short+no wind,65000,175.2
1,T1: short+no wind,66000,462.2
1,T1: short+no wind,67000,478.8
1,T1: short+no wind,68000,211.4
1,T1: short+no wind,69000,500.0
1,T1: short+no wind,70000,287.8
1,T1: short+no wind,71000,169.8
1,T1: short+no wind,72000,480.4
1,T1: short+no wind,73000,500.0
1,T1: short+no wind,74000,491.6
1,T1: short+no wind,75000,500.0
1,T1: short+no wind,76000,500.0
1,T1: short+no wind,77000,230.4
